id,name_ja,name_zh,brand,category,price_jpy,selling_price_jpy,image_url,image_filename,colors,available,wholesale_item_id
refa-4936,ReFa STRAIGHT BLOW IRON,,ReFa,美容家電,21000,,/images/ReFa STRAIGHT BLOW IRON.jpg,ReFa STRAIGHT BLOW IRON.jpg,"白, 黒",TRUE,4936
refa-4938,ReFa CURL BLOW IRON,,ReFa,美容家電,23000,,/images/ReFa CURL BLOW IRON.jpg,ReFa CURL BLOW IRON.jpg,"白, 黒",TRUE,4938
refa-4940,ReFa TREATMENT IRON,,ReFa,美容家電,32000,,/images/ReFa TREATMENT IRON.jpg,ReFa TREATMENT IRON.jpg,,TRUE,4940
refa-4941,ReFa TREATMENT SERUM 150mL,,ReFa,ヘアケア,3000,,/images/ReFa TREATMENT SERUM.jpg,ReFa TREATMENT SERUM.jpg,,TRUE,4941
refa-4942,ReFa TREATMENT IRON HOLDER,,ReFa,アクセサリー,3000,,/images/ReFa HAIR IRON PRO HOLDER.jpg,ReFa HAIR IRON PRO HOLDER.jpg,,TRUE,4942
refa-3577,ReFa BEAUTECH IRON HOLDER,,ReFa,アクセサリー,3000,,/images/ReFa TREATMENT IRON HOLDER.jpg,ReFa TREATMENT IRON HOLDER.jpg,,TRUE,3577
refa-4943,ReFa TSUYA LOCK 100mL,,ReFa,ヘアケア,2545,,/images/ReFa TSUYA LOCK.jpg,ReFa TSUYA LOCK.jpg,,TRUE,4943
refa-4534,ReFa BEAUTECH DRYER BX W,,ReFa,美容家電,68000,,/images/ReFa BEAUTECH DRYER BX W.jpg,ReFa BEAUTECH DRYER BX W.jpg,絹金,TRUE,4534
refa-4526,ReFa BEAUTECH DRYER SE,,ReFa,美容家電,30000,,/images/ReFa BEAUTECH DRYER SE.jpg,ReFa BEAUTECH DRYER SE.jpg,"赤, 白, 黒, 金, 桃, 青, 銀, 羊毛色",TRUE,4526
refa-4536,ReFa CURL IRON PRO＋,,ReFa,美容家電,27000,,/images/ReFa CURL IRON PRO+.jpg,ReFa CURL IRON PRO+.jpg,絹金,TRUE,4536
refa-4535,ReFa STRAIGHT IRON PRO+,,ReFa,美容家電,26000,,/images/ReFa STRAIGHT IRON PRO+.jpg,ReFa STRAIGHT IRON PRO+.jpg,絹金,TRUE,4535
refa-4057,ReFa BEAUTECH RESETTER,,ReFa,美容家電,35000,,/images/ReFa BEAUTECH RESETTER.jpg,ReFa BEAUTECH RESETTER.jpg,"白, 黒, 桃",TRUE,4057
refa-4055,ReFa BEAUTECH DRYER BX,,ReFa,美容家電,53000,,/images/ReFa BEAUTECH DRYER BX.jpg,ReFa BEAUTECH DRYER BX.jpg,"白, 黒, 桃",TRUE,4055
refa-4053,ReFa BEAUTECH DRYER S+,,ReFa,美容家電,36000,,/images/ReFa BEAUTECH DRYER S+.jpg,ReFa BEAUTECH DRYER S+.jpg,"白, 黒, 桃",TRUE,4053
refa-3928,ReFa BEAUTECH DRYER SMART W,,ReFa,美容家電,36364,,/images/ReFa BEAUTECH DRYER SMART W.jpg,ReFa BEAUTECH DRYER SMART W.jpg,"白, 黒, 桃, 羊毛色",TRUE,3928
refa-3959,ReFa CURL IRON PRO 19,,ReFa,美容家電,22727,,/images/ReFa CURL IRON PRO.jpg,ReFa CURL IRON PRO.jpg,"白, 黒",TRUE,3959
refa-3802,ReFa CURL IRON PRO 26,,ReFa,美容家電,22727,,/images/ReFa CURL IRON PRO.jpg,ReFa CURL IRON PRO.jpg,"白, 黒",TRUE,3802
refa-3804,ReFa CURL IRON PRO 32,,ReFa,美容家電,22727,,/images/ReFa CURL IRON PRO.jpg,ReFa CURL IRON PRO.jpg,"白, 黒",TRUE,3804
refa-3806,ReFa CURL IRON PRO 38,,ReFa,美容家電,22727,,/images/ReFa CURL IRON PRO.jpg,ReFa CURL IRON PRO.jpg,"白, 黒",TRUE,3806
refa-4163,ReFa POWER STRAIGHT IRON PRO,,ReFa,美容家電,30000,,/images/ReFa POWER STRAIGHT IRON.jpg,ReFa POWER STRAIGHT IRON.jpg,"白, 黒, 羊毛色",TRUE,4163
refa-4165,ReFa POWER STRAIGHT IRON SALON MODEL,,ReFa,美容家電,30000,,/images/ReFa POWER STRAIGHT IRON.jpg,ReFa POWER STRAIGHT IRON.jpg,黒,TRUE,4165
refa-3800,ReFa STRAIGHT IRON PRO,,ReFa,美容家電,20909,,/images/ReFa STRAIGHT IRON PRO.jpg,ReFa STRAIGHT IRON PRO.jpg,"白, 黒, 桃, 羊毛色",TRUE,3800
refa-4170,ReFa HAIR IRON CASE,,ReFa,アクセサリー,3000,,/images/ReFa HAIR IRON CASE.jpg,ReFa HAIR IRON CASE.jpg,銀,TRUE,4170
refa-4060,ReFa FINGER IRON ST 6,,ReFa,美容家電,13600,,/images/ReFa FINGER IRON ST 6.jpg,ReFa FINGER IRON ST 6.jpg,"金, 銀, 艶無桃",TRUE,4060
refa-3808,ReFa FINGER IRON ST,,ReFa,美容家電,13182,,/images/ReFa FINGER IRON ST.jpg,ReFa FINGER IRON ST.jpg,"白, 黒, 桃, 羊毛色",TRUE,3808
refa-4533,ReFa BEAUTECH DRYER SE HOLDER,,ReFa,アクセサリー,3000,,/images/ReFa BEAUTECH DRYER SE.jpg,ReFa BEAUTECH DRYER SE.jpg,,TRUE,4533
refa-4068,ReFa BEAUTECH RESETTER HOLDER,,ReFa,アクセサリー,3600,,/images/ReFa BEAUTECH RESETTER.jpg,ReFa BEAUTECH RESETTER.jpg,,TRUE,4068
refa-4066,ReFa BEAUTECH DRYER BX HOLDER,,ReFa,アクセサリー,4000,,/images/ReFa BEAUTECH DRYER BX.jpg,ReFa BEAUTECH DRYER BX.jpg,,TRUE,4066
refa-4067,ReFa BEAUTECH DRYER BX STAND,,ReFa,アクセサリー,4000,,/images/ReFa BEAUTECH DRYER BX.jpg,ReFa BEAUTECH DRYER BX.jpg,,TRUE,4067
refa-4065,ReFa BEAUTECH DRYER S+ HOLDER,,ReFa,アクセサリー,3000,,/images/ReFa BEAUTECH DRYER S+.jpg,ReFa BEAUTECH DRYER S+.jpg,,TRUE,4065
refa-3931,ReFa BEAUTECH DRYER SMART W HOLDER,,ReFa,アクセサリー,3000,,/images/ReFa BEAUTECH DRYER SMART W.jpg,ReFa BEAUTECH DRYER SMART W.jpg,,TRUE,3931
refa-3820,ReFa HAIR IRON PRO HOLDER,,ReFa,アクセサリー,3000,,/images/ReFa HAIR IRON PRO HOLDER.jpg,ReFa HAIR IRON PRO HOLDER.jpg,,TRUE,3820
refa-3569,ReFa BEAUTECH FINGER IRON HOLDER,,ReFa,アクセサリー,1800,,/images/ReFa BEAUTECH FINGER IRON.jpg,ReFa BEAUTECH FINGER IRON.jpg,,TRUE,3569
refa-3811,ReFa LOCK OIL R 100mL,,ReFa,ヘアケア,2400,,/images/ReFa LOCK OIL.jpg,ReFa LOCK OIL.jpg,,TRUE,3811
refa-3812,ReFa LOCK OIL LIGHT R 100mL,,ReFa,ヘアケア,2400,,/images/ReFa LOCK OIL LIGHT.jpg,ReFa LOCK OIL LIGHT.jpg,,TRUE,3812
refa-3962,ReFa LOCK OIL BLOOM 100mL,,ReFa,ヘアケア,2545,,/images/ReFa LOCK OIL BLOOM.jpg,ReFa LOCK OIL BLOOM.jpg,,TRUE,3962
refa-3963,ReFa LOCK OIL BLOOM LIGHT 100mL,,ReFa,ヘアケア,2545,,/images/ReFa LOCK OIL BLOOM LIGHT.jpg,ReFa LOCK OIL BLOOM LIGHT.jpg,,TRUE,3963
refa-3813,ReFa LOCK TREATMENT 100g,,ReFa,ヘアケア,2400,,/images/ReFa LOCK TREATMENT.jpg,ReFa LOCK TREATMENT.jpg,,TRUE,3813
refa-4063,ReFa MAEGAMI LOCK 100g,,ReFa,ヘアケア,2545,,/images/ReFa MAEGAMI LOCK.jpg,ReFa MAEGAMI LOCK.jpg,,TRUE,4063
refa-4064,ReFa VOLUME LOCK 100g,,ReFa,ヘアケア,2545,,/images/ReFa VOLUME LOCK.jpg,ReFa VOLUME LOCK.jpg,,TRUE,4064
refa-4168,ReFa STRAIGHT LOCK 100g,,ReFa,ヘアケア,2545,,/images/ReFa STRAIGHT LOCK.jpg,ReFa STRAIGHT LOCK.jpg,,TRUE,4168
refa-4169,ReFa STRAIGHT LOCK 280g,,ReFa,ヘアケア,5700,,/images/ReFa STRAIGHT LOCK.jpg,ReFa STRAIGHT LOCK.jpg,,TRUE,4169
refa-4540,ReFa LOCK BALM 50g,,ReFa,ヘアケア,3000,,/images/ReFa LOCK BALM.jpg,ReFa LOCK BALM.jpg,,TRUE,4540
refa-4541,ReFa LOCK BALM LIGHT 50g,,ReFa,ヘアケア,3000,,/images/ReFa LOCK BALM LIGHT.jpg,ReFa LOCK BALM LIGHT.jpg,,TRUE,4541
refa-3814,ReFa BEAUTECH SHAMPOO 250mL,,ReFa,美容家電,3000,,/images/ReFa BEAUTECH SHAMPOO.jpg,ReFa BEAUTECH SHAMPOO.jpg,,TRUE,3814
refa-3815,ReFa BEAUTECH SHAMPOO 500mL,,ReFa,美容家電,4364,,/images/ReFa BEAUTECH SHAMPOO.jpg,ReFa BEAUTECH SHAMPOO.jpg,,TRUE,3815
refa-3816,ReFa BEAUTECH SHAMPOO 1000mL,,ReFa,美容家電,6182,,/images/ReFa BEAUTECH SHAMPOO.jpg,ReFa BEAUTECH SHAMPOO.jpg,,TRUE,3816
refa-3818,ReFa BEAUTECH TREATMENT 500ｇ,,ReFa,ヘアケア,4364,,/images/ReFa BEAUTECH TREATMENT.jpg,ReFa BEAUTECH TREATMENT.jpg,,TRUE,3818
refa-3819,ReFa BEAUTECH TREATMENT 1000ｇ,,ReFa,ヘアケア,6182,,/images/ReFa BEAUTECH TREATMENT.jpg,ReFa BEAUTECH TREATMENT.jpg,,TRUE,3819
refa-3961,ReFa BEAUTECH MASK 130g,,ReFa,美容家電,4455,,/images/ReFa BEAUTECH MASK.jpg,ReFa BEAUTECH MASK.jpg,N,TRUE,3961
refa-4035,ReFa BEAUTECH BODY WASH 500mL,,ReFa,美容家電,3545,,,,,TRUE,4035
refa-4036,ReFa BEAUTECH BODY WASH 1000mL,,ReFa,美容家電,5000,,,,,TRUE,4036
refa-4142,ReFaビューテックシリーズミニボトルセットポーチ50mL,,ReFa,美容家電,2545,,,,,TRUE,4142
refa-4933,ReFa BLOOMING HAND WASH 190mL,,ReFa,美容家電,4500,,/images/ReFa BLOOMING HAND WASH.jpg,ReFa BLOOMING HAND WASH.jpg,,TRUE,4933
refa-4162,ReFa DRY ME,,ReFa,美容家電,4000,,/images/ReFa DRY ME.jpg,ReFa DRY ME.jpg,黒,TRUE,4162
refa-4143,ReFa ARC BRUSH,,ReFa,美容家電,5000,,/images/ReFa ARC BRUSH.jpg,ReFa ARC BRUSH.jpg,黒,TRUE,4143
refa-4144,ReFa ROLL BRUSH 35,,ReFa,美容家電,6500,,/images/ReFa ROLL BRUSH.jpg,ReFa ROLL BRUSH.jpg,黒,TRUE,4144
refa-4145,ReFa ROLL BRUSH 45,,ReFa,美容家電,7000,,/images/ReFa ROLL BRUSH.jpg,ReFa ROLL BRUSH.jpg,黒,TRUE,4145
refa-4146,ReFa ROLL BRUSH 55,,ReFa,美容家電,7500,,/images/ReFa ROLL BRUSH.jpg,ReFa ROLL BRUSH.jpg,黒,TRUE,4146
refa-4956,ReFa MARQUISE COMPACT,,ReFa,美容家電,8000,,/images/ReFa MARQUISE COMPACT.jpg,ReFa MARQUISE COMPACT.jpg,銀,TRUE,4956
refa-4062,ReFa PADDLE PREMIUM,,ReFa,美容家電,9000,,/images/ReFa PADDLE PREMIUM.jpg,ReFa PADDLE PREMIUM.jpg,黒,TRUE,4062
refa-3763,ReFa BRISTLE,,ReFa,美容家電,26182,,/images/ReFa BRISTLE.jpg,ReFa BRISTLE.jpg,,TRUE,3763
refa-3745,ReFa ION CARE BRUSH PREMIUM ローズゴールド,,ReFa,美容家電,7727,,/images/ReFa ION CARE BRUSH PREMIUM.jpg,ReFa ION CARE BRUSH PREMIUM.jpg,,TRUE,3745
refa-4049,ReFa ION CARE BRUSH PREMIUM,,ReFa,美容家電,7727,,/images/ReFa ION CARE BRUSH PREMIUM.jpg,ReFa ION CARE BRUSH PREMIUM.jpg,"白, 黒",TRUE,4049
refa-3490,ReFa ION CARE BRUSH,,ReFa,美容家電,5500,,/images/ReFa ION CARE BRUSH.jpg,ReFa ION CARE BRUSH.jpg,,TRUE,3490
refa-3766,ReFa AILE BRUSH,,ReFa,美容家電,3455,,/images/ReFa AILE BRUSH.jpg,ReFa AILE BRUSH.jpg,,TRUE,3766
refa-3682,ReFa HEART BRUSH for SCALP,,ReFa,美容家電,2700,,/images/ReFa HEART BRUSH for SCALP.jpg,ReFa HEART BRUSH for SCALP.jpg,,TRUE,3682
refa-4964,ReFa HEART BRUSH,,ReFa,美容家電,2700,,/images/ReFa HEART BRUSH.jpg,ReFa HEART BRUSH.jpg,,TRUE,4964
refa-3641,ReFa BEAUTECH HEAD SPA,,ReFa,美容家電,30000,,/images/ReFa BEAUTECH HEAD SPA.jpg,ReFa BEAUTECH HEAD SPA.jpg,"白, 黒",TRUE,3641
refa-3674,ReFa BEAUTECH HEAD SPA ニーディングボール（4個入）,,ReFa,美容家電,1600,,,,,TRUE,3674
refa-3675,ReFa BEAUTECH HEAD SPA ニーディングブラシ（4個入）,,ReFa,美容家電,1600,,,,,TRUE,3675
refa-3643,ReFa HOT DROP 30mL,,ReFa,美容家電,2182,,/images/ReFa HOT DROP.jpg,ReFa HOT DROP.jpg,,TRUE,3643
refa-3408,ReFa ION CARE SHAMPOO 300mL,,ReFa,美容家電,2200,,/images/ReFa ION CARE SHAMPOO.jpg,ReFa ION CARE SHAMPOO.jpg,,TRUE,3408
refa-3409,ReFa ION CARE TREATMENT 290g,,ReFa,ヘアケア,2400,,/images/ReFa ION CARE TREATMENT.jpg,ReFa ION CARE TREATMENT.jpg,,TRUE,3409
refa-3393,ReFa HAIR DRY TOWEL,,ReFa,美容家電,1800,,/images/ReFa HAIR DRY TOWEL.jpg,ReFa HAIR DRY TOWEL.jpg,"白, 灰, 深赤",TRUE,3393
refa-3618,ReFa CRACKING HEAD SERUM 160g,,ReFa,ヘアケア,2400,,/images/ReFa CRACKING HEAD SERUM.jpg,ReFa CRACKING HEAD SERUM.jpg,,TRUE,3618
refa-4134,ReFa ULTRA FINE BUBBLE LAUNDRY,,ReFa,美容家電,10727,,/images/ReFa ULTRA FINE BUBBLE LAUNDRY.jpg,ReFa ULTRA FINE BUBBLE LAUNDRY.jpg,,TRUE,4134
refa-4887,ReFa FINE BUBBLE VEIL,,ReFa,美容家電,30000,,/images/ReFa FINE BUBBLE VEIL.jpg,ReFa FINE BUBBLE VEIL.jpg,,TRUE,4887
refa-4888,ReFa VEIL CARTRIDGE,,ReFa,美容家電,2727,,/images/ReFa VEIL CARTRIDGE.jpg,ReFa VEIL CARTRIDGE.jpg,,TRUE,4888
refa-4870,ReFa FINE BUBBLE U+,,ReFa,美容家電,31818,,/images/ReFa FINE BUBBLE U+.jpg,ReFa FINE BUBBLE U+.jpg,"白, 銀",TRUE,4870
refa-4872,ReFa FINE BUBBLE U+ 黒,,ReFa,美容家電,34545,,/images/ReFa FINE BUBBLE U+.jpg,ReFa FINE BUBBLE U+.jpg,黒,TRUE,4872
refa-3937,ReFa FINE BUBBLE U,,ReFa,美容家電,27273,,/images/ReFa FINE BUBBLE U.jpg,ReFa FINE BUBBLE U.jpg,"白, 銀",TRUE,3937
refa-3939,ReFa FINE BUBBLE U 黒,,ReFa,美容家電,30000,,/images/ReFa FINE BUBBLE U.jpg,ReFa FINE BUBBLE U.jpg,黒,TRUE,3939
refa-3940,ReFa FINE BUBBLE FIT,,ReFa,美容家電,16364,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,,TRUE,3940
refa-3941,ReFa SHOWER JOINT,,ReFa,美容家電,2000,,/images/ReFa SHOWER JOINT.jpg,ReFa SHOWER JOINT.jpg,,TRUE,3941
refa-3837,ReFa FINE BUBBLE DIA 150 白,,ReFa,美容家電,61818,,/images/ReFa FINE BUBBLE DIA 150.jpg,ReFa FINE BUBBLE DIA 150.jpg,白,TRUE,3837
refa-3838,ReFa FINE BUBBLE DIA 150 黒,,ReFa,美容家電,68182,,/images/ReFa FINE BUBBLE DIA 150.jpg,ReFa FINE BUBBLE DIA 150.jpg,艶無黒,TRUE,3838
refa-3839,ReFa FINE BUBBLE DIA 120,,ReFa,美容家電,43636,,/images/ReFa FINE BUBBLE DIA 120.jpg,ReFa FINE BUBBLE DIA 120.jpg,"白, 銀",TRUE,3839
refa-3840,ReFa FINE BUBBLE DIA 120 黒,,ReFa,美容家電,48182,,/images/ReFa FINE BUBBLE DIA 120.jpg,ReFa FINE BUBBLE DIA 120.jpg,艶無黒,TRUE,3840
refa-3671,ReFa FINE BUBBLE PURE,,ReFa,美容家電,27273,,/images/ReFa FINE BUBBLE PURE.jpg,ReFa FINE BUBBLE PURE.jpg,白,TRUE,3671
refa-3786,ReFa FINE BUBBLE PURE BLACK,,ReFa,美容家電,30000,,/images/ReFa FINE BUBBLE PURE.jpg,ReFa FINE BUBBLE PURE.jpg,黒,TRUE,3786
refa-3665,ReFa PURE CARTRIDGE,,ReFa,美容家電,2273,,/images/ReFa PURE CARTRIDGE.jpg,ReFa PURE CARTRIDGE.jpg,,TRUE,3665
refa-3570,ReFa FINE BUBBLE ONE,,ReFa,美容家電,16800,,/images/ReFa FINE BUBBLE ONE.jpg,ReFa FINE BUBBLE ONE.jpg,,TRUE,3570
refa-3714,ReFa FINE BUBBLE PRO FIT,,ReFa,美容家電,15000,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,,TRUE,3714
refa-3715,ReFa FINE BUBBLE PRO FIT アダプターA,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3715
refa-3716,ReFa FINE BUBBLE PRO FIT アダプターB,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3716
refa-3717,ReFa FINE BUBBLE PRO FIT アダプターC,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3717
refa-3718,ReFa FINE BUBBLE PRO FIT アダプターD,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3718
refa-3719,ReFa FINE BUBBLE PRO FIT アダプターE,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3719
refa-3720,ReFa FINE BUBBLE PRO FIT アダプターF,,ReFa,美容家電,800,,/images/ReFa FINE BUBBLE FIT.jpg,ReFa FINE BUBBLE FIT.jpg,黒,TRUE,3720
refa-3822,ReFa SPA TABLET 60錠,,ReFa,美容家電,8000,,/images/ReFa SPA TABLET.jpg,ReFa SPA TABLET.jpg,,TRUE,3822
refa-4158,ReFa EPI W COOL,,ReFa,美容家電,110000,,/images/ReFa EPI W COOL.jpg,ReFa EPI W COOL.jpg,,TRUE,4158
refa-3965,ReFa EPI COOL,,ReFa,美容家電,62000,,/images/ReFa EPI COOL.jpg,ReFa EPI COOL.jpg,白,TRUE,3965
refa-3425,ReFa BEAUTECH POINT,,ReFa,美容家電,13000,,/images/ReFa BEAUTECH POINT.jpg,ReFa BEAUTECH POINT.jpg,,TRUE,3425
refa-3966,ReFa MULTI SHAVER,,ReFa,美容家電,7000,,/images/ReFa MULTI SHAVER.jpg,ReFa MULTI SHAVER.jpg,白,TRUE,3966
refa-3968,ReFa MULTI SHAVER HEAD（I字刃）,,ReFa,美容家電,1500,,/images/ReFa MULTI SHAVER.jpg,ReFa MULTI SHAVER.jpg,,TRUE,3968
refa-3969,ReFa MULTI SHAVER HEAD（トリマー刃）,,ReFa,美容家電,1500,,,,白,TRUE,3969
refa-3970,ReFa MULTI SHAVER HEAD（ネット刃）,,ReFa,美容家電,1500,,/images/ReFa MULTI SHAVER.jpg,ReFa MULTI SHAVER.jpg,白,TRUE,3970
refa-3376,ReFa SKIM SHAVER,,ReFa,美容家電,4800,,/images/ReFa SKIM SHAVER.jpg,ReFa SKIM SHAVER.jpg,白,TRUE,3376
refa-3377,ReFa SKIM SHAVER 替え刃(2枚入り),,ReFa,美容家電,1600,,/images/ReFa SKIM SHAVER.jpg,ReFa SKIM SHAVER.jpg,,TRUE,3377
refa-2855,ReFa MEDICAL CREAM WASH 120g,,ReFa,美容家電,2800,,/images/ReFa MEDICAL CREAM WASH.jpg,ReFa MEDICAL CREAM WASH.jpg,,TRUE,2855
refa-3489,ReFa HARI MAKE 4包輸送箱セット,,ReFa,美容家電,5400,,/images/ReFa HARI MAKE.jpg,ReFa HARI MAKE.jpg,,TRUE,3489
refa-3392,ReFa C.P.SERUM LIFT 50mL（引き締め）,,ReFa,ヘアケア,4364,,,,,TRUE,3392
refa-3390,ReFa SMOOTH GEL 200mL,,ReFa,美容家電,1818,,/images/ReFa SMOOTH GEL.jpg,ReFa SMOOTH GEL.jpg,,TRUE,3390
refa-3925,ReFa SPARKLING BODY SERUM 150g,,ReFa,ヘアケア,4500,,/images/ReFa SPARKLING BODY SERUM.jpg,ReFa SPARKLING BODY SERUM.jpg,,TRUE,3925
refa-3576,ReFa SPA FOAM WASH 340g,,ReFa,美容家電,5800,,/images/ReFa SPA FOAM WASH.jpg,ReFa SPA FOAM WASH.jpg,,TRUE,3576
refa-3428,ReFa MICRO CP GEL CLEANSING 500mL,,ReFa,美容家電,9000,,,,,TRUE,3428
refa-3140,FINE BUBBLE for professional 滑り止めゴム,,ReFa,美容家電,200,,,,,TRUE,3140
